iata_code,icao_code,airport_name,city,country_code,country_name,latitude,longitude,timezone,location_type
"ZHU",,"KREUZLINGEN RAILWAY STN.",,"CH","SWITZERLAND",,,"01","RAILWAY STATION"
"PPJ","WIHG","PANJANG ISLAND AIRPORT",,"ID","INDONESIA",,,"01","AIRPORT"
"TMX","DAUT","TIMIMOUN AIRPORT",,"DZ","ALGERIA",,,"01","AIRPORT"
"SOH",,"SOLITA AIRPORT",,"CO","COLOMBIA",,,"01","AIRPORT"
"OMI","OIAJ","OMIDIYEH AIRPORT",,"IR","IRAN, ISLAMIC REPUBLIC OF",,,"01"
"WKA","NZWF","WANAKA AIRPORT",,"NZ","NEW ZEALAND",,,"01","AIRPORT"
"PGZ","SBPG","A.AMILTON BERALDO",,"BR","BRAZIL",,,"01","AIRPORT"
"XNM",,"NOTTINGHAM RAILWAY STN.",,"GB","UNITED KINGDOM",,,"01","RAILWAY STATION"
"YUA","ZPYM","YUANMOU AIRPORT",,"CN","CHINA",,,"01","AIRPORT"
"NDK",,"NAMDRIK ISLAND AIRPORT",,"MH","MARSHALL ISLANDS",,,"01","AIRPORT"
"KBK","VEKI","KUSHINAGAR INTERNATIONAL",,"IN","INDIA",,,"01","AIRPORT"
"NTJ",,"MANTI/EPHRAIM AIRPORT",,"US","UNITED STATES OF AMERICA",,,"03","AIRPORT"
"VDE","GCHI","EL HIERRO",,"ES","SPAIN",,,"02","AIRPORT"
"XZB",,"CASSELMAN RAILWAY STN.",,"CA","CANADA",,,"03","RAILWAY STATION"
"BFH","SBBI","BACACHERI",,"BR","BRAZIL",,,"01","AIRPORT"
"TIV","LYTV","TIVAT AIRPORT",,"ME","MONTENEGRO",,,"01","AIRPORT"
"KOE","WATT","EL TARI",,"ID","INDONESIA",,,"02","AIRPORT"
"YRO","CYRO","ROCKCLIFFE",,"CA","CANADA",,,"03","AIRPORT"
"SEO","DISG","SEGUELA AIRPORT",,"CI","COTE D'IVOIRE",,,"01","AIRPORT"
"ZSJ","CZSJ","SANDY LAKE AIRPORT",,"CA","CANADA",,,"04","AIRPORT"
"AGE","EDWG","WANGEROOGE AIRPORT",,"DE","GERMANY",,,"01","AIRPORT"
"ZVZ",,"OFF-LINE POINT DUTCH RAIL ZONE 15",,"NL","NETHERLANDS",,,"01","OFF-LINE PORT"
"TCB","MYAT","TREASURE CAY AIRPORT",,"BS","BAHAMAS",,,"01","AIRPORT"
"NHA","VVNT","AIR BASE",,"VN","VIET NAM",,,"01","AIRPORT"
"LWY","WBGW","LAWAS AIRPORT",,"MY","MALAYSIA",,,"01","AIRPORT"
"NAK","VTUQ","NAKHON RATCHASIMA AIRPORT",,"TH","THAILAND",,,"01","AIRPORT"
"GDH",,"GOLDEN HORN LODGE SPB",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"ZPR",,"ROSENHEIM BUS STN.",,"DE","GERMANY",,,"01","BUS STATION"
"BVY","KBVY","BEVERLY MUNICIPAL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"IMI",,"INE ISLAND AIRPORT",,"MH","MARSHALL ISLANDS",,,"01","AIRPORT"
"XEZ",,"SODERTALJE S RAIL STN",,"SE","SWEDEN",,,"01","RAILWAY STATION"
"KUG","YKUB","KUBIN AIRPORT",,"AU","AUSTRALIA",,,"2B","AIRPORT"
"LHP",,"LEHU AIRPORT",,"PG","PAPUA NEW GUINEA",,,"02","AIRPORT"
"YYC","CYYC","CALGARY INTL.",,"CA","CANADA",,,"05","AIRPORT"
"HHI","PHHI","WHEELER AAF",,"US","UNITED STATES OF AMERICA",,,"6A","AIRPORT"
"ZHG",,"GLARUS RAILWAY STN.",,"CH","SWITZERLAND",,,"01","RAILWAY STATION"
"CHP",,"CIRCLE HOT SPRINGS AIRPORT",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"UND","OAUZ","KUNDUZ AIRPORT",,"AF","AFGHANISTAN",,,"01","AIRPORT"
"ZKJ",,"SCHAFFHAUSEN RAILWAY STN.",,"CH","SWITZERLAND",,,"01","RAILWAY STATION"
"TMK",,"TAM KY AIRPORT",,"VN","VIET NAM",,,"01","AIRPORT"
"ZDZ",,"EINSIEDELN RAILWAY STN.",,"CH","SWITZERLAND",,,"01","RAILWAY STATION"
"SGA","OASN","SHEGHNAN AIRPORT",,"AF","AFGHANISTAN",,,"01","AIRPORT"
"EOH","SKMD","ENRIQUE OLAYA HERRERA",,"CO","COLOMBIA",,,"01","AIRPORT"
"MGG",,"MARGARIMA AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"MOS",,"MOSES POINT AIRPORT",,"US","UNITED STATES OF AMERICA",,,"05","AIRPORT"
"TYT","SUTR","TREINTA Y TRES AIRPORT",,"UY","URUGUAY",,,"01","AIRPORT"
"BZA","MNBZ","SAN PEDRO",,"NI","NICARAGUA",,,"01","AIRPORT"
"AYJ",,"AYODHYA AIRPORT",,"IN","INDIA",,,"01","AIRPORT"
"XKO",,"KEMANO HELIPORT",,"CA","CANADA",,,"06","HELIPORT"
"FNT","KFNT","BISHOP INTL",,"US","UNITED STATES OF AMERICA",,,"01","AIRPORT"
"AXE",,"JOAO WINCKLER",,"BR","BRAZIL",,,"01","AIRPORT"
"VRD",,"RADOM BUS STN.",,"PL","POLAND",,,"01","BUS STATION"
"AHF",,"ARAPAHOE MUNICIPAL",,"US","UNITED STATES OF AMERICA",,,"02","AIRPORT"
"APR","AYPE","APRIL RIVER AIRPORT",,"PG","PAPUA NEW GUINEA",,,"01","AIRPORT"
"KHA",,"KHANEH AIRPORT",,"IR","IRAN, ISLAMIC REPUBLIC OF",,,"01"
"DRS","EDDC","DRESDEN AIRPORT",,"DE","GERMANY",,,"01","AIRPORT"
"NPD",,"GARE NIMES PONT DU GARD",,"FR","FRANCE",,,"01","RAILWAY STATION"
"ZLB",,"VISP RAILWAY STN.",,"CH","SWITZERLAND",,,"01","RAILWAY STATION"
"MVF","SBMS","DIX-SEPT ROSADO",,"BR","BRAZIL",,,"01","AIRPORT"
"AUD","YAGD","AUGUSTUS DOWNS AIRPORT",,"AU","AUSTRALIA",,,"2B","AIRPORT"
"YYR","CYYR","GOOSE BAY AIRPORT",,"CA","CANADA",,,"02","AIRPORT"
"RMF","HEMA","MARSA ALAM INTL.",,"EG","EGYPT",,,"01","AIRPORT"
"NGK",,"NOGLIKI AIRPORT",,"RU","RUSSIAN FEDERATION",,,"10","AIRPORT"
"NDD",,"SUMBE AIRPORT",,"AO","ANGOLA",,,"01","AIRPORT"
"ABX","YMAY","ALBURY",,"AU","AUSTRALIA",,,"02","AIRPORT"
"QSN","MUNB","OFF-LINE POINT SAN NICOLAS DE BARI",,"CU","CUBA",,,"01","OFF-LINE PORT"
"KWR","WAJK","KIWIROK AIRPORT",,"ID","INDONESIA",,,"03","AIRPORT"
"SLF",,"SULAYEL AIRPORT",,"SA","SAUDI ARABIA",,,"01","AIRPORT"
"OIL","EHPG","OIL PLATFORM DE RUYTER P11B",,"NL","NETHERLANDS",,,"01","HELIPORT"
"IPW",,"IPSWICH RAILWAY STN.",,"GB","UNITED KINGDOM",,,"01","RAILWAY STATION"
"RVC",,"RIVER CESS AIRPORT",,"LR","LIBERIA",,,"01","AIRPORT"
"ROS","SAAR","ISLAS MALVINAS",,"AR","ARGENTINA",,,"01","AIRPORT"
"PSS","SARP","JOSE DE SAN MARTIN",,"AR","ARGENTINA",,,"01","AIRPORT"
"HRF",,"HOARAFUSHI AIRPORT",,"MV","MALDIVES",,,"01","AIRPORT"
"KRM","SYKR","KARANAMBO AIRPORT",,"GY","GUYANA",,,"01","AIRPORT"
"QWK","EPWK","OFF-LINE POINT WLOCLAWEK",,"PL","POLAND",,,"01","OFF-LINE PORT"
"XGK",,"COTEAU RAILWAY STN.",,"CA","CANADA",,,"03","RAILWAY STATION"
"QZV",,"OFF-LINE POINT ROISSY-EN-FRANCE",,"FR","FRANCE",,,"01","OFF-LINE PORT"
"JAK","MTJA","JACMEL AIRPORT",,"HT","HAITI",,,"01","AIRPORT"
