iata_code,icao_code,oag_code,carrier_name,iata_name,alliance,domicile_country,region
"RJ","RJA","RJ","ROYAL JORDANIAN","ALIA - THE ROYAL JORDANIAN AIRLINES","ONEWORLD","JORDAN","MIDDLE EAST"
"UL","ALK","UL","SRILANKAN AIRLINES","SRILANKAN AIRLINES LTD","ONEWORLD","SRI LANKA","ASIA : SOUTH ASIA"
"QR","QTR","QR","QATAR AIRWAYS","QATAR AIRWAYS GROUP Q.C.S.C","ONEWORLD","QATAR","MIDDLE EAST"
"NH","ANA","NH","ALL NIPPON AIRWAYS","ALL NIPPON AIRWAYS CO., LTD","STAR ALLIANCE","JAPAN"
"ME","MEA","ME","MIDDLE EAST AIRLINES","MIDDLE EAST AIRLINES AIRLIBAN","SKYTEAM","LEBANON","MIDDLE EAST"
"PN","CHB","PN","WEST AIR","WEST AIR CO., LTD.","U-FLY ALLIANCE","CHINA"
"NZ","ANZ","NZ","AIR NEW ZEALAND","AIR NEW ZEALAND","STAR ALLIANCE","NEW ZEALAND","SOUTHWEST PACIFIC"
"TG","THA","TG","THAI AIRWAYS INTERNATIONAL","THAI AIRWAYS INTERNATIONAL","STAR ALLIANCE","THAILAND","ASIA : SOUTH EAST ASIA"
"ZH","CSZ","ZH","SHENZHEN AIRLINES","SHENZHEN AIRLINES","STAR ALLIANCE","CHINA","ASIA : NORTH EAST ASIA"
"KL","KLM","KL","KLM-ROYAL DUTCH AIRLINES","KLM","SKYTEAM","NETHERLANDS","EUROPE : WESTERN EUROPE"
"AY","FIN","AY","FINNAIR","FINNAIR","ONEWORLD","FINLAND","EUROPE : WESTERN EUROPE"
"SV","SVA","SV","SAUDI ARABIAN AIRLINES","SAUDI ARABIAN AIRLINES CORP.","SKYTEAM","SAUDI ARABIA","MIDDLE EAST"
"SN","BEL","SN","BRUSSELS AIRLINES","BRUSSELS AIRLINES","STAR ALLIANCE","BELGIUM","EUROPE : WESTERN EUROPE"
"8L","LKE","8L","LUCKY AIR CO. LTD.","LUCKY AIR CO. LTD.","U-FLY ALLIANCE","CHINA","ASIA : NORTH EAST ASIA"
"UX","AEA","UX","AIR EUROPA","AIR EUROPA LINEAS AEREAS, S.A.","SKYTEAM","SPAIN"
"FJ","FJI","FJ","FIJI AIRWAYS","AIR PACIFIC LIMITED T/A FIJI AIRWAYS","ONEWORLD","FIJI","SOUTHWEST PACIFIC"
"MF","CXA","MF","XIAMEN AIRLINES COMPANY","XIAMEN AIRLINES","SKYTEAM","CHINA","ASIA : NORTH EAST ASIA"
"EZ","SUS","EZ","SUN AIR OF SCANDINAVIA","SUN AIR OF SCANDINAVIA A.S.","ONEWORLD AFFILIATE","DENMARK","EUROPE : WESTERN EUROPE"
"AF","AFR","AF","AIR FRANCE","AIR FRANCE","SKYTEAM","FRANCE","EUROPE : WESTERN EUROPE"
"LO","LOT","LO","LOT - POLISH AIRLINES","LOT POLISH AIRLINES","STAR ALLIANCE","POLAND","EUROPE : EASTERN/CENTRAL EUROPE"
"SK","SAS","SK","SAS SCANDINAVIAN AIRLINES","SCANDINAVIAN AIRLINES SYSTEMS","SKYTEAM","SWEDEN","EUROPE : WESTERN EUROPE"
"FF",,"FF","AIRSHOP B.V.","AIRSHOP B.V.",,,
"ET","ETH","ET","ETHIOPIAN AIRLINES","ETHIOPIAN AIRLINES","STAR ALLIANCE","ETHIOPIA","AFRICA : EASTERN AFRICA"
"JK","ACL","JK","AEROLINEA DEL CARIBE S.A.","AEROLINEA DEL CARIBE S A",,"COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"SP","SAT","SP","SATA AIR ACORES","SATA (AIR ACORES)",,"PORTUGAL","EUROPE : WESTERN EUROPE"
"IB","IBE","IB","IBERIA","IBERIA LINEAS AEREAS DE ESPANA S.A.","ONEWORLD","SPAIN","EUROPE : WESTERN EUROPE"
"Q9","GWG","Q9","GREEN AFRICA AIRWAYS LIMITED","GREEN AFRICA AIRWAYS LIMITED",,"NIGERIA","AFRICA : CENTRAL/WESTERN AFRICA"
"N3","VOS","N3","VOLARIS EL SALVADOR","VUELA EL SALVADOR S.A. DE C.V.",,"EL SALVADOR","LATIN AMERICA : CENTRAL AMERICA"
"P8","SRN","P8","SPRINTAIR","SPRINTAIR SA",,"POLAND","EUROPE : EASTERN/CENTRAL EUROPE"
"OI","HND","OI","HINTERLAND AVIATION","HINTERLAND AVIATION PTY LTD",,"AUSTRALIA","SOUTHWEST PACIFIC"
"LC",,"LC","LA COSTENA","AEROTAXI LA COSTENA S.A.",,"NICARAGUA","LATIN AMERICA : CENTRAL AMERICA"
"M9","MSI","M9","MOTOR SICH PJSC","MOTOR-SICH JSC",,"UKRAINE","EUROPE : EASTERN/CENTRAL EUROPE"
"8U","AAW","8U","AFRIQIYAH AIRWAYS","AFRIQIYAH AIRWAYS",,"LIBYA","AFRICA : NORTH AFRICA"
"RL",,"RL","SHENZHEN RUIHANG TRAVEL CO., LTD","SHENZHEN RUIHANG TRAVEL CO., LTD",
"RY","CJX","RY","JIANGXI AIR","JIANGXI AIR",,"CHINA","ASIA : NORTH EAST ASIA"
"YV","ASH","YV","MESA AIRLINES","MESA AIRLINES, INC.",,"USA"
"HW","NWL","HW","NORTH-WRIGHT AIRWAYS LTD.","NORTH-WRIGHT AIRWAYS LTD.",,"CANADA","NORTH AMERICA"
"W8","CJT","W8","CARGOJET AIRWAYS LTD.","CARGOJET AIRWAYS LTD",,"CANADA","NORTH AMERICA"
"EY","ETD","EY","ETIHAD AIRWAYS","ETIHAD AIRWAYS",,"UNITED ARAB EMIRATES","MIDDLE EAST"
"8AI",,"8AI","MOON FLIGHTS",,,"COLOMBIA","LATIN AMERICA : UPPER SOUTH AMERICA"
"1P",,"1P","TRAVELPORT","TRAVELPORT",,,
"8AW",,"8AW","EMETEBE AIRLINES",,,"ECUADOR","LATIN AMERICA : UPPER SOUTH AMERICA"
"4L","OOO","4L","ONECLICK AIRWAYS","ONECLICK AIRWAYS",,"GEORGIA","EUROPE : EASTERN/CENTRAL EUROPE"
"Y8","YZR","Y8","SUPARNA AIRLINES CO","SUPARNA AIRLINES CO., LTD.",,"CHINA"
"JJ","TAM","JJ","LATAM AIRLINES BRASIL","TAM LINHAS AEREAS SA",,"BRAZIL","LATIN AMERICA : LOWER SOUTH AMERICA"
"LK","LLL","LK","LAO SKYWAY COMM AIR TRANS & CHARTER","LAO SKYWAY DBA COMMERCIAL AIR",,"LAO PEOPLE'S DEMOCRATIC REPUBLIC","ASIA : SOUTH EAST ASIA"
"8OA",,"8OA","IPS AIRWAYS",,,"UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"PH","PHA","PH","PIONAIR AUSTRALIA PTY LTD","PIONAIR AUSTRALIA PTY LTD",,"AUSTRALIA","SOUTHWEST PACIFIC"
"QF","QFA","QF","QANTAS AIRWAYS","QANTAS AIRWAYS LIMITED","ONEWORLD","AUSTRALIA","SOUTHWEST PACIFIC"
"AA","AAL","AA","AMERICAN AIRLINES","AMERICAN AIRLINES","ONEWORLD","USA","NORTH AMERICA"
"8DK",,"8DK","HELLOFLY",,,"ITALY","EUROPE : WESTERN EUROPE"
"KE","KAL","KE","KOREAN AIR","KOREAN AIR LINES CO. LTD.","SKYTEAM","KOREA REPUBLIC OF","ASIA : NORTH EAST ASIA"
"JQ","JST","JQ","JETSTAR AIRWAYS","JETSTAR AIRWAYS PTY LIMITED","ONEWORLD AFFILIATE","AUSTRALIA","SOUTHWEST PACIFIC"
"TK","THY","TK","TURKISH AIRLINES","TURKISH AIRLINES INC","STAR ALLIANCE","TURKIYE","EUROPE : EASTERN/CENTRAL EUROPE"
"VS","VIR","VS","VIRGIN ATLANTIC AIRWAYS","VIRGIN ATLANTIC AIRWAYS LTD","SKYTEAM","UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"CI","CAL","CI","CHINA AIRLINES","CHINA AIRLINES LTD.","SKYTEAM","CHINESE TAIPEI","ASIA : NORTH EAST ASIA"
"BA","BAW","BA","BRITISH AIRWAYS","BRITISH AIRWAYS PLC","ONEWORLD","UNITED KINGDOM","EUROPE : WESTERN EUROPE"
"PF","SIF","PF","AIR SIAL","M/S AIR SIAL LTD",,"PAKISTAN","ASIA : SOUTH ASIA"
"1D",,"1D","RADIXX SOLUTIONS INTERNATIONAL, INC","RADIXX SOLUTIONS INTERNATIONAL, INC",
"8F","STP","8F","STP AIRWAYS","STP AIRWAYS - TRANSPORTES AEREOS DE",,"SAO TOME AND PRINCIPE","AFRICA : CENTRAL/WESTERN AFRICA"
